facility,country_code,country,city,year,pollutant,total_emissions
IPALLE - Usine d'incinération,BE,Belgium,Thumaide,2023,NOX,243000
INTRADEL - UVELIA - Usine d'incinération,BE,Belgium,Herstal,2023,NOX,157000
INDUSTEEL BELGIUM,BE,Belgium,Marchienne-Au-Pont,2023,NOX,108000
SEGAL,BE,Belgium,Ivoz-Ramet,2023,NOX,169000
CCB - Site de Gaurain-Ramecroix,BE,Belgium,Gaurain-Ramecroix,2023,NOX,2120000
HOLCIM Belgique - Usine d'OBOURG,BE,Belgium,Obourg,2023,NOX,1390000
BRUXELLES ENERGIE,BE,Belgium,Bruxelles,2023,NOX,103000
NLMK LA LOUVIERE sa  ,BE,Belgium,La Louvière,2023,NOX,200000
HEIDELBERG MATERIALS BENELUX s.a. - Site de Lixhe,BE,Belgium,Lixhe,2023,NOX,925000
HEIDELBERG MATERIALS BENELUX s.a. - Site d'Antoing,BE,Belgium,Antoing,2023,NOX,1050000
CARMEUSE - Site de Moha,BE,Belgium,Moha,2023,NOX,129000
CARMEUSE - Site d'Aisemont,BE,Belgium,Aisemont,2023,NOX,279000
CARRIERES ET FOURS A CHAUX DUMONT WAUTIER,BE,Belgium,Saint-Georges-Sur-Meuse,2023,NOX,335000
LHOIST INDUSTRIE - Site de On,BE,Belgium,Marche-En-Famenne,2023,NOX,218000
AGC GLASS EUROPE - Site de Moustier,BE,Belgium,Moustier-Sur-Sambre,2023,NOX,1160000
YARA TERTRE - CETPROBEL,BE,Belgium,Tertre,2023,NOX,279000
INEOS FELUY,BE,Belgium,Feluy,2023,NOX,235000
BURGO ARDENNES,BE,Belgium,Virton,2023,NOX,758000
ELECTRABEL - CENTRALE D'AMERCOEUR,BE,Belgium,Roux,2023,NOX,353000
ELECTRABEL - CENTRALE BAUDOUR/St GHISLAIN,BE,Belgium,Baudour,2023,NOX,148000
APERAM STAINLESS BELGIUM,BE,Belgium,Châtelet,2023,NOX,370000
BIOWANZE,BE,Belgium,Wanze,2023,NOX,187000
INDUSTRIE DU BOIS VIELSALM & CIE - IBV,BE,Belgium,Vielsalm,2023,NOX,323000
TotalEnergies Petrochemicals Feluy SA,BE,Belgium,Feluy,2023,NOX,109000
INOVYN Manufacturing Belgium,BE,Belgium,Jemeppe-Sur-Sambre,2023,NOX,212000
FIBRE EXCELLENCE SAINT-GAUDENS SAS,FR,France,SAINT-GAUDENS,2023,NOX,403000
ECONOTRE,FR,France,BESSIERES,2023,NOX,181000
LAFARGE CIMENTS,FR,France,MARTRES-TOLOSANE,2023,NOX,495000
ELECTRICITE DE FRANCE,FR,France,REMIRE MONTJOLY,2023,NOX,974000
ELECTRICITE DE FRANCE,FR,France,KOUROU,2023,NOX,177000
EDF PRODUCTION ELECTRIQUE INSULAIRE SAS,FR,France,BAIE-MAHAULT,2023,NOX,1000000
EDF PRODUCTION ELECTRIQUE INSULAIRE BELLEFONTAINE SAS,FR,France,BELLEFONTAINE,2023,NOX,1210000
SAINT GOBAIN GLASS FRANCE,FR,France,EMERCHICOURT,2023,NOX,173000
ARC FRANCE,FR,France,ARQUES,2023,NOX,379000
CHAUX ET DOLOMIES DU BOULONNAIS,FR,France,RETY,2023,NOX,236000
INOVA,FR,France,NOYELLES-SOUS-LENS,2023,NOX,136000
ENGIE THERMIQUE FRANCE,FR,France,DUNKERQUE,2023,NOX,651000
O-I FRANCE SAS,FR,France,WINGLES,2023,NOX,125000
ALBIOMA LE GOL,FR,France,SAINT-LOUIS,2023,NOX,441000
